,user_id,rec
55,76,"[965530, 1126899, 1106523, 1029743, 986912]"
56,77,"[1082185, 916122, 1055425, 1098248, 899624]"
57,78,"[1082185, 952972, 5570408, 1106523, 1068719]"
58,79,"[1082185, 1105488, 1029743, 1106523, 986912]"
59,80,"[895166, 1082185, 1046957, 1029743, 844179]"
60,81,"[1093413, 949965, 1029743, 971922, 1106523]"
61,82,"[847573, 849202, 1106523, 1082185, 880150]"
62,83,"[1069312, 1029743, 1106523, 986912, 1082185]"
63,84,"[12731432, 5569374, 1096635, 879504, 944139]"
64,85,"[1082185, 1106523, 1029743, 9835509, 12988031]"
65,86,"[906335, 13506200, 943362, 923169, 9707240]"
66,87,"[979707, 1029743, 1106523, 1082185, 899624]"
67,88,"[1082185, 12384775, 893018, 862682, 990256]"
68,91,"[1067695, 1029743, 1082185, 1106523, 839656]"
69,92,"[12946027, 871061, 1128240, 1106523, 1082185]"
70,94,"[976199, 1082185, 979707, 1029743, 1106523]"
71,95,"[1068719, 1029743, 899624, 1027168, 1042438]"
72,97,"[835618, 1082185, 1029743, 1076056, 6034857]"
73,98,"[1082185, 1068719, 5570408, 1131438, 957013]"
74,99,"[1082185, 1029743, 1126899, 961979, 5590613]"
75,101,"[1082185, 841309, 1029743, 970605, 899624]"
76,103,"[1106523, 1029743, 1082185, 1044078, 1126899]"
77,104,"[1082185, 1098844, 1029743, 979707, 965766]"
78,105,"[945244, 1067695, 1004906, 1082185, 825365]"
79,106,"[12171656, 8090532, 1029743, 1082185, 5569230]"
80,108,"[1082185, 979707, 1036347, 1029743, 1106523]"
81,109,"[1082185, 1097418, 1046756, 944836, 1029743]"
82,110,"[1082185, 1093413, 5585510, 1068719, 5572738]"
83,111,"[1060705, 981086, 1106523, 1029743, 1082185]"
84,112,"[5569845, 9527159, 1029743, 1106523, 5569230]"
85,113,"[1082185, 947201, 902396, 948086, 1075214]"
86,114,"[5568489, 1107973, 1029743, 1082185, 10150194]"
87,115,"[1018007, 985889, 1090931, 12648296, 851287]"
88,116,"[976199, 1029743, 1106523, 1126899, 844179]"
89,117,"[1082185, 1076056, 1068719, 940947, 901062]"
90,118,"[1082185, 5585510, 13381584, 5591083, 1004906]"
91,119,"[1082185, 1138467, 844697, 943362, 1098844]"
92,121,"[907099, 1082185, 1126899, 14106445, 12810464]"
93,122,"[912704, 940947, 1105917, 1029743, 1082185]"
94,123,"[1082185, 862799, 1029743, 890610, 883068]"
95,124,"[870547, 1029743, 1082185, 1126899, 1037840]"
96,125,"[1082185, 5585510, 1029743, 983584, 834117]"
97,127,"[1082185, 1029743, 983584, 899624, 1106523]"
98,128,"[1082185, 1054262, 1029743, 857006, 878996]"
99,131,"[1075214, 827667, 1082185, 6979545, 990797]"
100,132,"[879876, 999198, 1082185, 13189726, 1106523]"
101,133,"[1082185, 869728, 6513604, 834491, 858439]"
102,135,"[883202, 1082185, 919534, 1029743, 1106523]"
103,136,"[8090537, 1082185, 865511, 1106523, 1029743]"
104,138,"[8090537, 1082185, 1051516, 1029743, 1098844]"
105,139,"[1021324, 907099, 1082185, 1050741, 866211]"
106,142,"[963835, 5569327, 1082212, 13877192, 990797]"
107,143,"[1090884, 1130858, 871756, 1029743, 1082185]"
108,144,"[925862, 1082185, 1029743, 1106523, 916122]"
109,145,"[1029743, 1106523, 1126899, 986912, 1082185]"
110,147,"[903350, 983584, 1106523, 834117, 1082185]"
111,148,"[1003487, 5568489, 906838, 8090537, 12262992]"
112,149,"[1082185, 1109778, 959316, 1101010, 1132771]"
113,151,"[1106523, 1029743, 1082185, 916122, 1126899]"
114,152,"[1037332, 1029743, 1082185, 845208, 1106523]"
115,153,"[13381584, 897954, 1082185, 1029743, 844179]"
116,155,"[1067749, 979877, 889509, 12648296, 1082185]"
117,156,"[837644, 1074754, 1044078, 1082185, 1106523]"
118,157,"[1003487, 1082185, 1098844, 949294, 1106523]"
119,158,"[862799, 841220, 1082185, 1092303, 1104343]"
120,159,"[1082185, 934639, 1131344, 846823, 1106523]"
121,160,"[1101010, 833598, 1029743, 1082185, 1106523]"
122,161,"[7155863, 898466, 1018007, 910032, 7166865]"
123,162,"[964521, 1082185, 1076056, 1106523, 1029743]"
124,164,"[1082185, 1029743, 894439, 1068719, 983584]"
125,165,"[1082185, 825343, 1029743, 979707, 899624]"
126,166,"[1101010, 1082185, 1029743, 944486, 844179]"
127,167,"[833724, 956672, 888543, 948953, 1082185]"
128,171,"[1106523, 1029743, 1123106, 5567502, 851819]"
129,172,"[1016276, 1118046, 6633273, 1082185, 1106523]"
130,175,"[995478, 1041796, 1070272, 1044078, 1029743]"
131,177,"[986912, 1029743, 1082185, 933835, 979707]"
132,178,"[1082185, 870547, 1056005, 967461, 1110031]"
133,180,"[5590613, 906335, 1082185, 1029743, 1096794]"
134,182,"[898466, 939900, 1083787, 1104343, 1044078]"
135,183,"[8090440, 1082185, 986912, 1029743, 1106523]"
136,184,"[1082185, 1128812, 890610, 1044188, 843464]"
137,185,"[838186, 1029743, 1082185, 1106523, 1075368]"
138,188,"[1082185, 1106523, 1044078, 1029743, 1051211]"
139,189,"[1093413, 879876, 986912, 1137775, 13841744]"
140,191,"[944486, 910032, 1082185, 883932, 899624]"
141,192,"[1082185, 1029743, 1002850, 1027168, 979707]"
142,193,"[1029743, 8090537, 1082185, 990797, 1106523]"
143,194,"[951412, 854496, 1082185, 945662, 845208]"
144,195,"[1131382, 1029743, 5592931, 1062128, 1062002]"
145,196,"[1082185, 1029743, 1068292, 1024051, 1072968]"
146,197,"[856252, 819308, 1075214, 1042438, 1082185]"
147,198,"[1082185, 1016276, 887474, 1012587, 1090931]"
148,199,"[820301, 1136524, 13189726, 1132771, 1082212]"
149,200,"[883202, 9575582, 1082212, 1105301, 1082185]"
150,201,"[1082185, 5568721, 1029743, 972665, 1025611]"
151,203,"[1131382, 986912, 1082185, 1029743, 7139529]"
152,204,"[923670, 1070820, 1082185, 1029743, 1106523]"
153,205,"[1082185, 934639, 1106523, 916122, 1029743]"
154,207,"[9884698, 951412, 976199, 5585510, 1082185]"
155,208,"[1082185, 1055425, 979707, 1014948, 910032]"
156,209,"[1082185, 1091520, 5590613, 907625, 1068719]"
157,210,"[899624, 1082185, 999779, 1068719, 1106523]"
158,211,"[1082185, 1006878, 1029743, 1068719, 907099]"
159,212,"[833724, 837865, 1082185, 1029743, 1106523]"
160,214,"[1005274, 1055425, 1082185, 6633273, 1019643]"
161,215,"[1082185, 985999, 938300, 1000237, 1135258]"
162,216,"[862799, 1082185, 974156, 1008547, 979707]"
163,217,"[895930, 976199, 1035676, 1082185, 916122]"
164,218,"[1082185, 1029743, 856942, 882190, 965772]"
165,219,"[1082185, 864279, 1098844, 866211, 5568447]"
166,220,"[1005274, 1082185, 1029743, 925862, 1068719]"
167,221,"[1082185, 948953, 1041796, 979707, 1106523]"
168,222,"[1082185, 883202, 1094308, 6464147, 866211]"
169,223,"[870547, 1103105, 993638, 1082185, 1126899]"
170,224,"[1029743, 934639, 1053628, 1082185, 1037337]"
171,225,"[1029743, 1082185, 907631, 1106523, 1126899]"
172,226,"[1106523, 1029743, 1082185, 916122, 1022254]"
173,227,"[1068719, 1029743, 1106523, 1044078, 1082185]"
174,228,"[890610, 1082185, 1029743, 1121393, 6034857]"
175,230,"[1103105, 1082185, 917816, 8090532, 964520]"
176,232,"[945244, 1082185, 883202, 1029743, 1123842]"
177,233,"[1078652, 1029743, 992986, 1106523, 1082185]"
178,235,"[1082185, 9884698, 983584, 8293343, 976199]"
179,236,"[1075214, 1014948, 1029743, 1126899, 1082185]"
180,238,"[1082185, 1106523, 1029743, 1022254, 916122]"
181,239,"[1082185, 892503, 940947, 845208, 1087102]"
182,242,"[1082185, 1029743, 959316, 1018007, 7139529]"
183,243,"[9803810, 5570882, 995478, 1082185, 979707]"
184,244,"[1082185, 1029743, 1106523, 1068719, 1126899]"
185,245,"[1082185, 983584, 1029743, 1106523, 845208]"
186,246,"[7409874, 979707, 1126899, 986912, 1082185]"
187,247,"[1044188, 1046957, 1082185, 1097635, 1082212]"
188,248,"[1082185, 1015785, 1029743, 6534480, 970605]"
189,249,"[1029743, 899624, 1082185, 1068719, 1106523]"
190,250,"[1082185, 1029743, 865528, 1046587, 12731436]"
191,251,"[965693, 1101010, 8090550, 1012587, 8090537]"
192,253,"[1106523, 1044078, 1068719, 1012587, 899624]"
193,254,"[1106523, 862535, 1122568, 1082185, 1029743]"
194,255,"[933835, 1082185, 1029743, 1106523, 1070820]"
195,256,"[1082185, 883202, 957736, 1065538, 6602440]"
196,257,"[1093413, 12262778, 1082185, 918046, 1106523]"
197,258,"[7409874, 1075175, 5981074, 1082185, 1121384]"
198,259,"[1062128, 5568729, 1082185, 1029743, 1004906]"
199,260,"[12949855, 913210, 859427, 1082185, 1029743]"
200,262,"[1008814, 1124971, 1082185, 1132771, 828106]"
201,263,"[1082185, 1029743, 1098844, 979707, 901062]"
202,267,"[1029743, 1082185, 986912, 1070820, 1126899]"
203,269,"[891961, 1106523, 1082185, 845208, 1053754]"
204,271,"[7025496, 1029743, 1082185, 1106523, 1004906]"
205,273,"[6534480, 1106523, 983659, 1044188, 1004436]"
206,275,"[1082185, 850139, 923789, 976199, 863447]"
207,276,"[1082185, 1042942, 904997, 1029743, 1025611]"
208,277,"[1016276, 862799, 1027835, 870547, 838186]"
209,278,"[883202, 1056492, 1106523, 1029743, 1082185]"
210,279,"[8069350, 1029743, 1082185, 1082212, 1022254]"
211,280,"[892503, 1029743, 9333734, 1106523, 1082185]"
212,281,"[1082185, 999104, 1029743, 854852, 940766]"
213,282,"[957736, 1082185, 909129, 1130581, 930344]"
214,283,"[1082185, 825343, 1008032, 907631, 1029743]"
215,285,"[1082185, 850139, 6464147, 893018, 862335]"
216,286,"[1135834, 13003092, 845208, 1082185, 1106523]"
217,287,"[1082185, 1029743, 1137344, 9881592, 1128240]"
218,288,"[1005456, 841309, 1082185, 5577022, 1029743]"
219,289,"[1082185, 925862, 976199, 1055504, 1014948]"
220,290,"[1027068, 1068719, 892503, 1082185, 1056492]"
221,291,"[976199, 1106523, 1054262, 6534578, 1029743]"
222,292,"[865705, 933835, 1106523, 1082185, 1029743]"
223,293,"[895166, 1082185, 14106445, 6632283, 837270]"
224,294,"[1082185, 1101010, 1029743, 983584, 854852]"
225,297,"[1101010, 849870, 12648296, 8090537, 1029743]"
226,300,"[8273950, 8273833, 1082185, 1029743, 1106523]"
227,301,"[1082185, 837644, 1029743, 921504, 1087102]"
228,302,"[1003649, 925862, 1082185, 924531, 1029743]"
229,303,"[895930, 1082185, 1029743, 8090521, 822225]"
230,304,"[849870, 1082185, 5585510, 1068719, 5572738]"
231,305,"[8090532, 1029743, 1082185, 1050741, 1106523]"
232,306,"[1082185, 5592931, 865456, 1068719, 1055504]"
233,307,"[961979, 999250, 899624, 845208, 1029743]"
234,308,"[9803810, 885023, 1004390, 1109014, 5569230]"
235,311,"[7442056, 989824, 1106523, 1082185, 1029743]"
236,314,"[1082185, 872762, 892314, 1124971, 903350]"
237,316,"[866755, 1082185, 956486, 1029743, 1068719]"
238,317,"[849870, 1082185, 983584, 1029743, 825343]"
239,318,"[1106523, 5569230, 1029743, 1082185, 5570408]"
240,319,"[916122, 1082185, 844179, 979707, 866211]"
241,320,"[1128812, 1082185, 1044078, 1106523, 1081177]"
242,321,"[1082185, 1028891, 964520, 5567702, 1075214]"
243,322,"[934172, 1082185, 862010, 1029743, 1106523]"
244,324,"[1060705, 903350, 1082185, 1098844, 979707]"
245,325,"[976199, 862799, 1029743, 1082185, 939546]"
246,326,"[990256, 1013928, 1082185, 1037840, 8090521]"
247,328,"[1082185, 925862, 1051516, 848319, 863447]"
248,329,"[1082185, 979707, 1029743, 944836, 1027168]"
249,331,"[1076056, 1029743, 1082185, 1004906, 1126899]"
250,332,"[1082185, 1029743, 1068719, 1042907, 1004906]"
251,334,"[1082185, 5569230, 1000753, 6463717, 9487606]"
252,335,"[6548453, 831628, 1082185, 1004906, 1106523]"
253,338,"[1138467, 5981072, 1068719, 1026118, 1051516]"
254,339,"[1106523, 1029743, 1082185, 899624, 1068719]"
255,342,"[925862, 1082185, 1029743, 1106523, 904236]"
256,343,"[5568378, 1029743, 1082185, 1044078, 1106523]"
257,345,"[1082185, 1104343, 1131488, 12301109, 1132771]"
258,346,"[1082185, 907625, 1101010, 1029743, 948670]"
259,348,"[5568721, 845208, 1082185, 1102949, 1025611]"
260,349,"[976199, 907099, 896862, 844179, 1036347]"
261,350,"[1082185, 999714, 1029743, 1106523, 1044078]"
262,351,"[1082185, 870547, 1068719, 894439, 5568721]"
263,353,"[1082185, 901062, 979707, 1004906, 1029743]"
264,354,"[1082185, 917384, 1058404, 6602440, 1008814]"
265,356,"[834117, 1029743, 1041796, 1106523, 1082185]"
266,357,"[983584, 1082185, 1029743, 1126899, 1040807]"
267,358,"[1082185, 856827, 1004906, 1044078, 1068719]"
268,360,"[9487606, 5569327, 5568378, 1082185, 1106523]"
269,361,"[1082185, 1101010, 1051211, 976199, 862799]"
270,362,"[883202, 890610, 976199, 1022254, 952972]"
271,365,"[841309, 953561, 1082185, 1062128, 1029743]"
272,367,"[1082185, 823775, 833724, 823721, 945662]"
273,368,"[1082185, 1106523, 1029743, 1044078, 1126899]"
274,371,"[1082185, 1138467, 1029743, 12384779, 866211]"
275,374,"[964521, 1082185, 999250, 1029743, 866211]"
276,375,"[1029743, 862799, 8090537, 8090532, 1082185]"
277,376,"[917816, 1082185, 896862, 8065410, 844179]"
278,377,"[1082185, 1029743, 1004390, 12302069, 1051211]"
279,378,"[1082185, 1029743, 916990, 899624, 916122]"
280,380,"[1106523, 1068719, 899624, 965766, 1044078]"
281,381,"[1082185, 1029743, 1106523, 5569230, 1081177]"
282,382,"[961979, 999250, 1034176, 8090532, 1106523]"
283,384,"[1042942, 892314, 1082185, 1065538, 871061]"
284,385,"[1082185, 1101010, 951412, 856252, 933835]"
285,386,"[1082185, 901062, 1083787, 1048507, 1040807]"
286,387,"[1082185, 1009719, 1130375, 6602729, 1103105]"
287,388,"[1029743, 1106523, 1082185, 916122, 872137]"
288,389,"[1082185, 835098, 1022254, 832678, 1068719]"
289,390,"[894439, 945909, 1082185, 888543, 1126045]"
290,392,"[1082185, 951412, 959316, 902396, 1029743]"
291,393,"[1029743, 1082185, 1068719, 1031316, 882190]"
292,394,"[865026, 1082185, 1029743, 1106523, 835098]"
293,395,"[986912, 1082185, 945909, 1070820, 1106523]"
294,396,"[991874, 1082185, 989824, 878715, 1106523]"
295,397,"[1015280, 1029743, 931255, 892573, 894439]"
296,398,"[5981072, 1029743, 947798, 1082185, 1106523]"
297,400,"[1082185, 1029743, 5567702, 886395, 872137]"
298,401,"[1082185, 1106523, 871756, 965766, 916122]"
299,402,"[12171656, 1082185, 1029743, 870547, 1106523]"
300,403,"[1106523, 1082185, 863447, 1029743, 899624]"
301,404,"[1082185, 902094, 1092588, 979707, 1029743]"
302,405,"[1101010, 899624, 1106523, 1029743, 1082185]"
303,406,"[1042616, 862010, 1082185, 957951, 1106523]"
304,408,"[1082185, 5569230, 857006, 1121360, 999779]"
305,409,"[1082185, 1092588, 1022254, 1106523, 1070820]"
306,410,"[1082185, 1029743, 12810464, 1106523, 916122]"
307,411,"[1082185, 5585510, 1050851, 1132771, 1094308]"
308,412,"[1005274, 995628, 916758, 945909, 1082185]"
309,413,"[1082185, 9926758, 862799, 5569230, 1106523]"
310,414,"[1082185, 1029743, 12349795, 844179, 940947]"
311,415,"[1126899, 1029743, 1106523, 1082185, 1070820]"
312,417,"[1082185, 6464165, 1029743, 1106523, 12301109]"
313,418,"[1082185, 7166865, 1029743, 1121384, 1022254]"
314,419,"[6534077, 5569230, 1106523, 1029743, 1082185]"
315,421,"[870547, 976199, 1029743, 1082185, 827919]"
316,424,"[9187298, 1057102, 976199, 872762, 1082185]"
317,425,"[985889, 965530, 957013, 944139, 969568]"
318,426,"[1082185, 1072968, 14106445, 5568447, 972665]"
319,427,"[825343, 5569845, 1082185, 1029743, 1106523]"
320,430,"[1006483, 1070845, 1082185, 829852, 834826]"
321,431,"[834117, 1070820, 905636, 1029743, 1106523]"
322,432,"[1130375, 941856, 947798, 871061, 1044078]"
323,433,"[1082185, 5565202, 1106523, 1068719, 896613]"
324,434,"[895166, 1068719, 837751, 934639, 1082185]"
325,435,"[8090537, 8090532, 909714, 1029743, 1117514]"
326,436,"[5585510, 1029743, 5569845, 998444, 845208]"
327,437,"[1082185, 9884698, 1099089, 1029743, 1004906]"
328,438,"[1082185, 1029743, 1090931, 830503, 925862]"
329,439,"[1082185, 7155863, 1029743, 1106523, 1126899]"
330,441,"[1082185, 1001412, 844697, 1124971, 6533681]"
331,442,"[887503, 5981267, 9835509, 979707, 1132771]"
332,443,"[1082185, 9396705, 6463717, 1029743, 899624]"
333,445,"[1029743, 1126899, 1106523, 986912, 5569230]"
334,447,"[1029743, 845208, 1082185, 1106523, 986912]"
335,448,"[1046957, 1082185, 1132771, 1120928, 931255]"
336,449,"[1082185, 1029743, 986912, 1106523, 1126899]"
337,450,"[863762, 998206, 976199, 1024051, 1082185]"
338,451,"[835618, 1068292, 1082185, 934639, 1082990]"
339,454,"[1068719, 1044078, 1106523, 899624, 1029743]"
340,456,"[1059902, 967461, 8014645, 1043494, 8090513]"
341,457,"[1042942, 1029743, 7155863, 6602440, 979707]"
342,458,"[1082185, 5569230, 12810391, 1029743, 901776]"
343,459,"[863762, 979707, 885290, 1029743, 901062]"
344,460,"[1082185, 1029743, 1106523, 1068719, 979707]"
345,461,"[1004906, 1050851, 897954, 1106523, 1082185]"
346,462,"[921504, 1082185, 6513604, 1045586, 986912]"
347,463,"[823775, 1082185, 825343, 1029743, 1106523]"
348,464,"[1082185, 12731432, 957013, 1029743, 1041796]"
349,466,"[12384775, 1131344, 1025611, 1082185, 1029743]"
350,467,"[1082185, 1076056, 850102, 1029743, 1022254]"
351,468,"[1098284, 907625, 7155863, 1106523, 883202]"
352,469,"[1098435, 1082185, 951412, 1009719, 883202]"
353,470,"[1126899, 1029743, 1082185, 1106523, 916122]"
354,473,"[1035207, 1053016, 8014645, 1019247, 1082185]"
355,474,"[1101010, 1106523, 1029743, 1068719, 844179]"
356,475,"[1006483, 999198, 1030981, 968072, 1082185]"
357,476,"[1029743, 1106523, 6979545, 986912, 1082185]"
358,479,"[835618, 1082185, 1029743, 865456, 1106523]"
359,480,"[1082185, 1029743, 1068719, 1135552, 909714]"
360,481,"[895930, 922561, 1013407, 1018740, 1082185]"
361,483,"[1106523, 5590695, 1082185, 5569230, 1041796]"
362,484,"[1082185, 1060673, 887474, 1098844, 1121384]"
363,485,"[904129, 1082185, 1029743, 862799, 870547]"
364,486,"[1082185, 1126899, 986912, 904236, 1106523]"
365,487,"[904236, 1029743, 986912, 1082185, 1106523]"
366,489,"[1005274, 1082185, 1022254, 1029743, 1087102]"
367,490,"[1082185, 1072968, 1029743, 1027168, 1051211]"
368,491,"[1082185, 976199, 951412, 1029743, 1055504]"
369,493,"[1082185, 947201, 8090539, 1029743, 965766]"
370,495,"[970747, 5592931, 6534480, 1029743, 870547]"
371,496,"[1106523, 5570408, 836445, 1082185, 899624]"
372,497,"[1072968, 1082185, 1029743, 1106523, 986912]"
373,498,"[9553382, 1106523, 1029743, 1082185, 1126899]"
374,501,"[8090537, 8090532, 932949, 922561, 1082185]"
375,502,"[1041796, 1126899, 1029743, 1070820, 1106523]"
376,503,"[1082185, 1075505, 1051211, 1127716, 1122568]"
377,505,"[12648296, 983267, 1082185, 1029743, 1106523]"
378,506,"[1082185, 1126899, 1106523, 1029743, 1070820]"
379,507,"[1082185, 1106523, 1014948, 1029743, 979707]"
380,510,"[1082185, 1055425, 1004390, 1003649, 1029743]"
381,511,"[895166, 1056005, 983584, 1029743, 1082185]"
382,513,"[1093413, 977658, 856252, 999714, 865026]"
383,514,"[866211, 1082185, 923169, 1029743, 916122]"
384,515,"[8090546, 1072968, 999714, 5590613, 837270]"
385,517,"[1107973, 1128812, 995628, 1137688, 1045586]"
386,518,"[1082185, 939900, 1138467, 1029743, 1031087]"
387,519,"[1029743, 1126899, 1070820, 1106523, 986912]"
388,520,"[907625, 903350, 8090537, 8090545, 1029743]"
389,521,"[1126899, 1106523, 1029743, 1082185, 1004906]"
390,523,"[1082185, 917816, 837644, 1131488, 1068292]"
391,524,"[1106523, 1029743, 986912, 1068719, 899624]"
392,525,"[986912, 1029743, 1082185, 1104343, 1126899]"
393,526,"[1097418, 1082185, 1103618, 951190, 965766]"
394,527,"[921504, 1131321, 1046584, 976199, 910109]"
395,528,"[907099, 866871, 1048257, 1003616, 1082185]"
396,530,"[9803810, 7139529, 839243, 1029743, 979707]"
397,534,"[13189726, 994223, 904833, 1082185, 1070820]"
398,536,"[1051211, 1029743, 1082185, 1106523, 916122]"
399,537,"[1116635, 1004436, 1082185, 1106523, 1029743]"
400,538,"[1097418, 1027068, 1082185, 925862, 985889]"
401,539,"[1027168, 1082185, 977658, 976199, 1068719]"
402,540,"[1005274, 951412, 1082185, 12384779, 6602729]"
403,541,"[5588161, 1082185, 848029, 995965, 1029743]"
404,542,"[1082185, 1068719, 1082990, 899624, 916122]"
405,543,"[1082185, 12349795, 990256, 1029743, 844179]"
406,544,"[1126899, 1106523, 1029743, 1082185, 986912]"
407,545,"[1040807, 1082185, 878996, 1029743, 1106523]"
408,548,"[1082185, 1098435, 1001412, 1110409, 1101706]"
409,551,"[1130375, 976199, 907099, 1004906, 1082185]"
410,553,"[1037332, 1082185, 849202, 1042907, 1046957]"
411,554,"[1082185, 839243, 1110031, 8090537, 1106523]"
412,557,"[1082185, 857503, 1029743, 832678, 1106523]"
413,558,"[1106523, 844179, 1082185, 1029743, 1056509]"
414,560,"[1082185, 964520, 903350, 843464, 956672]"
415,561,"[892314, 1082185, 1029743, 938138, 1106523]"
416,562,"[1029743, 862799, 1082185, 1106523, 871061]"
417,564,"[1082185, 1027168, 1105488, 989824, 986912]"
418,567,"[1082185, 974156, 9487606, 1106523, 844179]"
419,568,"[1012587, 1094308, 5585510, 5590613, 830503]"
420,569,"[12428017, 1082185, 970160, 1029743, 1122568]"
421,573,"[1008032, 1011457, 1029743, 1103105, 1070702]"
422,574,"[1082185, 5568721, 978906, 1018007, 989069]"
423,575,"[1082185, 890610, 849870, 923789, 999250]"
424,577,"[1082185, 5566472, 1110244, 1138467, 1072968]"
425,578,"[833724, 7139529, 847207, 8090521, 854405]"
426,579,"[1029743, 1082185, 986912, 1070820, 1126899]"
427,580,"[1082185, 976199, 940947, 1106523, 1056509]"
428,581,"[983584, 1082185, 1004906, 1106523, 834158]"
429,582,"[1080853, 974156, 13071902, 1021324, 1082185]"
430,583,"[1082185, 970605, 1029743, 1058404, 1076056]"
431,585,"[1126899, 1106523, 1029743, 986912, 1082185]"
432,586,"[1082185, 837304, 906335, 1029743, 1028995]"
433,587,"[1082185, 859426, 1138487, 945662, 885290]"
434,588,"[1082185, 951412, 849870, 1042438, 1051516]"
435,590,"[12384775, 1082185, 1106523, 1029743, 1075175]"
436,591,"[1035676, 1046756, 1065017, 862799, 1106523]"
437,592,"[1027168, 1092937, 1029743, 1082185, 1106523]"
438,593,"[1082185, 5592931, 1106523, 1029743, 1070820]"
439,594,"[925862, 1082185, 1029743, 945662, 1106523]"
440,595,"[1082185, 953561, 1106523, 1029743, 986912]"
441,596,"[1025581, 5569845, 8090537, 1025611, 1082185]"
442,597,"[1082185, 1035676, 7409874, 1068719, 856942]"
443,598,"[1082185, 9553382, 976199, 1018007, 1004906]"
444,600,"[1021324, 1029743, 837751, 1082185, 938138]"
445,601,"[1037332, 1128812, 829291, 1126899, 1082185]"
446,602,"[970605, 849202, 908283, 1029743, 1027168]"
447,603,"[1070820, 986912, 1082185, 1106523, 5569230]"
448,604,"[12349795, 6979545, 866355, 914577, 1082185]"
449,605,"[1082185, 1054402, 1055425, 1029743, 965772]"
450,606,"[1082185, 5577022, 10150194, 1029743, 1106523]"
451,608,"[902396, 863762, 941856, 1082141, 964520]"
452,609,"[8090537, 1106523, 1082185, 1044078, 1038985]"
453,611,"[1127716, 1089954, 1029743, 1082185, 1106523]"
454,612,"[871061, 1138292, 1082454, 1029743, 5592931]"
455,614,"[1082185, 1067695, 1029743, 965766, 1004906]"
456,615,"[976199, 1029743, 1106523, 1082185, 1098844]"
457,617,"[14106445, 951412, 9546982, 1126899, 979707]"
